onset	duration	response_time	amountSS	amountLL	delaySS	delayLL	choice	SV_SS	SV_LL	SV_diff
8.0	9.2	4.2	4299.3	4342.2	2.0	6.0	LL	4289.21301584	4311.7798357	22.5668198529
26.2	10.0	5.0	3235.0	3238.2	0.0	2.0	SS	3235.0	3230.60256039	4.397439606130001
45.3	9.5	4.5	3798.5	3817.5	0.0	4.0	LL	3798.5	3799.62875188	1.12875187927
63.8	7.7	2.7	4726.0	4773.3	0.0	4.0	LL	4726.0	4750.95426885	24.9542688527
80.6	8.3	3.3	3632.7	3669.1	0.0	2.0	LL	3632.7	3660.49158617	27.7915861717
98.0	8.9	3.9	3991.2	4003.2	4.0	6.0	SS	3972.51559253	3975.15476907	2.63917653553
115.9	7.9	2.9	3466.5	3553.2	0.0	2.0	LL	3466.5	3544.86350985	78.3635098485
132.8	8.1	3.1	4432.5	4436.9	4.0	6.0	SS	4411.7496903	4405.81639561	5.93329469073
149.9	8.7	3.7	3648.5	3776.2	4.0	6.0	LL	3631.41990864	3749.74506369	118.32515505
167.6	6.9	1.9	3516.3	3569.0	4.0	6.0	LL	3499.83878984	3543.99664539	44.1578555415
183.5	6.9	1.9	3807.5	3997.9	2.0	4.0	LL	3798.56687317	3979.18422715	180.61735397799998
199.4	8.5	3.5	4577.1	4600.0	2.0	4.0	LL	4566.36124365	4578.46555564	12.1043119898
217.0	7.5	2.5	3832.1	3889.6	0.0	4.0	LL	3832.1	3871.39122287	39.2912228709
233.5	7.4	2.4	3559.4	3648.4	4.0	6.0	LL	3542.73702146	3622.84039255	80.1033710907
250.0	7.6	2.6	4534.0	4579.4	2.0	4.0	LL	4523.36236453	4557.9619925	34.5996279652
266.6	7.3	2.3	3845.6	3849.4	2.0	6.0	SS	3836.57748325	3822.43224622	14.1452370295
283.0	7.0	2.0	4143.0	4288.1	2.0	4.0	LL	4133.27972568	4268.02568459	134.745958908
