onset	duration	response_time	amountSS	amountLL	delaySS	delayLL	choice	SV_SS	SV_LL	SV_diff
8.0	9.8	4.8	25.87	25.87	2.0	6.0	SS	24.379801534699997	21.8612404958	2.51856103884
26.831999999999997	9.125	4.125	0.21	28.9	4.0	6.0	LL	0.187124312302	24.421718219099997	24.234593906799997
44.981	11.748	6.747999999999999	27.61	28.99	0.0	4.0	SS	27.61	25.8320657792	1.7779342207700002
65.74600000000001	12.347000000000001	7.347	23.44	24.61	2.0	6.0	SS	22.0897776564	20.7964873831	1.2932902733
87.111	15.985	10.985	18.23	19.14	0.0	2.0	SS	18.23	18.037472028299998	0.19252797165600002
112.13	10.83	5.83	24.86	37.29	2.0	4.0	LL	23.4279809104	33.2279314559	9.799950545549999
131.97	13.66	8.66	17.11	25.66	0.0	4.0	LL	17.11	22.864808826999997	5.75480882701
154.66	8.8	3.8	24.07	30.09	4.0	6.0	LL	21.4480104624	25.4273183811	3.97930791866
172.49	11.42	6.42	24.88	26.12	4.0	6.0	SS	22.169775667	22.072501034000002	0.09727463299219999
192.94	9.370000000000001	4.37	27.91	28.19	4.0	6.0	SS	24.869712173099998	23.8217382906	1.04797388254
211.34	13.01	8.01	27.14	29.85	0.0	4.0	SS	27.14	26.5983843915	0.541615608485
233.38	12.18	7.18	22.97	25.27	4.0	6.0	LL	20.4678354932	21.3542152041	0.886379710829
254.58	8.73	3.73	36.98	46.22	0.0	2.0	LL	36.98	43.5575735188	6.57757351881
272.33	11.02	6.02	22.89	26.32	4.0	6.0	LL	20.3965500409	22.2415094646	1.8449594236900002
292.38	9.18	4.18	24.54	30.68	2.0	4.0	LL	23.126413979899997	27.3379709592	4.21155697927
310.6	9.52	4.52	24.7	25.94	2.0	4.0	SS	23.2771974451	23.114307910100003	0.162889535067
329.14	8.5	3.5	27.39	41.08	2.0	6.0	LL	25.812244454400002	34.7143316416	8.90208718724
346.66	11.809999999999999	6.81	29.91	37.39	2.0	6.0	LL	28.187084031799998	31.5961260973	3.40904206559
367.49	8.02	3.02	14.2	14.63	2.0	6.0	SS	13.3820325393	12.362966697100001	1.0190658422299999
384.54	8.92	3.92	14.01	18.91	2.0	4.0	LL	13.2029771744	16.8500987887	3.64712161438
402.49	8.49	3.49	21.69	29.28	0.0	2.0	LL	21.69	27.593374137399998	5.9033741374
420.0	9.6	4.6	33.87	34.21	0.0	4.0	SS	33.87	30.483441542199998	3.38655845783
438.62	7.8	2.8	14.32	14.75	0.0	4.0	SS	14.32	13.1432552688	1.17674473116
455.44	10.309999999999999	5.31	21.72	22.37	4.0	6.0	SS	19.354000301	18.9035929606	0.450407340339
