onset	duration	response_time	amountSS	amountLL	delaySS	delayLL	choice	SV_SS	SV_LL	SV_diff
8.0	11.07	6.07	3937.5	4075.3	0.0	2.0	LL	3937.5	4065.7385629	128.238562897
28.1	9.61	4.61	3688.2	3691.9	0.0	4.0	SS	3688.2	3674.61673584	13.5832641616
46.73	19.68	14.68	3073.7	3089.1	4.0	6.0	SS	3059.3107778999997	3067.45868234	8.14790443297
75.43	8.08	3.08	4379.4	4532.7	2.0	6.0	LL	4369.12508585	4500.94524924	131.820163395
92.53	8.76	3.76	4749.6	4763.8	0.0	4.0	SS	4749.6	4741.49874216	8.101257838250001
110.31	7.75	2.75	4183.2	4392.3	0.0	4.0	LL	4183.2	4371.73788261	188.537882614
127.08	8.82	3.82	4725.1	4772.3	4.0	6.0	LL	4702.97991238	4738.86668276	35.8867703836
144.92	13.47	8.47	3594.5	3605.2	2.0	4.0	LL	3586.06661211	3588.3226133000003	2.25600119027
167.41	8.64	3.64	4872.2	4945.2	2.0	4.0	LL	4860.76888233	4922.04953603	61.280653702799995
185.07	8.120000000000001	3.12	3412.4	3415.8	2.0	4.0	SS	3404.39385371	3399.80927064	4.58458307106
202.2	9.8	4.8	3312.7	3329.3	0.0	2.0	LL	3312.7	3321.48882228	8.78882228377
221.0	8.9	3.9	3895.2	3992.5	2.0	4.0	LL	3886.06111211	3973.80950671	87.74839459969999
238.9	11.9	6.9	3624.8	3635.7	2.0	6.0	SS	3616.29552249	3610.22936499	6.06615750146
259.9	7.9	2.9	4007.8	4068.0	2.0	6.0	LL	3998.39693087	4039.5007994999996	41.1038686336
276.9	7.4	2.4	3796.3	3986.1	2.0	6.0	LL	3787.39315052	3958.17456659	170.781416071
293.3	8.5	3.5	4639.6	4801.9	0.0	4.0	LL	4639.6	4779.42038079	139.82038078600002
310.8	7.9	2.9	3035.9	3187.7	0.0	2.0	LL	3035.9	3180.2210431	144.3210431
327.7	8.4	3.4	4378.7	4488.1	0.0	4.0	LL	4378.7	4467.0894044	88.3894044032
345.1	7.9	2.9	4305.9	4370.5	0.0	2.0	LL	4305.9	4360.24596696	54.345966957399995
362.1	11.9	6.9	4112.6	4124.9	0.0	2.0	LL	4112.6	4115.22219176	2.62219176353
383.0	8.9	3.9	4624.9	4648.0	2.0	6.0	LL	4614.04909566	4615.43749167	1.3883960062600003
401.0	7.9	2.9	3645.0	3736.1	2.0	6.0	LL	3636.4481294	3709.92599239	73.47786298289999
417.9	8.6	3.6	3813.6	4004.2	4.0	6.0	LL	3795.74700934	3976.14776337	180.400754024
