onset	duration	response_time	amountSS	amountLL	delaySS	delayLL	choice	SV_SS	SV_LL	SV_diff
8.0	19.703	14.703	14.23	14.23	4.0	6.0	LL	12.356541413399999	11.593375269800001	0.7631661436120001
36.731	37.388000000000005	32.388000000000005	0.06	10.2	2.0	4.0	LL	0.05577201436430001	8.85711331106	8.80134129669
83.145	25.785	20.785	15.23	15.99	2.0	4.0	SS	14.1567963128	13.8848276317	0.271968681067
117.96	12.24	7.24	11.48	11.82	4.0	6.0	SS	9.96859419715	9.629915368130002	0.33867882901999996
139.22	11.690000000000001	6.69	14.59	14.74	0.0	4.0	SS	14.59	12.7993970789	1.7906029210799999
159.92	10.68	5.68	35.9	36.98	0.0	2.0	SS	35.9	34.374151519899996	1.5258484801199999
179.62	9.67	4.67	17.98	18.52	0.0	4.0	SS	17.98	16.0817390707	1.8982609293400001
198.32	9.49	4.49	14.64	15.08	2.0	6.0	SS	13.608371504900001	12.285881874100001	1.3224896308299998
216.84	12.32	7.32	10.76	11.3	2.0	6.0	SS	10.0017812427	9.20626426902	0.795516973645
238.19	11.4	6.4	5.29	5.82	0.0	4.0	SS	5.29	5.05376465396	0.236235346045
258.62	10.14	5.14	20.64	23.74	4.0	6.0	LL	17.922629288299998	19.341302101500002	1.41867281322
277.78	8.379999999999999	3.38	5.23	5.49	0.0	2.0	SS	5.23	5.10313931434	0.126860685665
295.18	7.99	2.99	25.08	28.84	0.0	4.0	LL	25.08	25.0430537148	0.03694628521169999
312.2	8.31	3.31	14.6	18.25	0.0	4.0	LL	14.6	15.847286071300001	1.24728607125
329.55	9.52	4.52	21.5	26.88	0.0	2.0	LL	21.5	24.9858624352	3.4858624352199996
348.1	7.859999999999999	2.86	15.05	20.32	2.0	6.0	LL	13.9894802697	16.5549814112	2.56550114148
364.98	8.82	3.82	26.95	33.69	4.0	6.0	LL	23.401882718899998	27.4477029401	4.04582022121
382.83	13.24	8.24	26.22	27.53	0.0	4.0	SS	26.22	23.9055224954	2.31447750457
405.09	9.15	4.15	26.76	33.45	2.0	4.0	LL	24.874318406500002	29.046121593600002	4.171803187119999
423.27	9.76	4.76	17.66	17.84	2.0	4.0	SS	16.4155628946	15.4912648499	0.92429804464
442.06	9.33	4.33	11.88	13.66	0.0	2.0	LL	11.88	12.697428603599999	0.81742860361
460.42	8.46	3.46	33.16	49.74	2.0	4.0	LL	30.823333272	43.191452558	12.368119285999999
477.9	8.24	3.24	30.9	46.35	0.0	4.0	LL	30.9	40.2477648988	9.34776489877
495.17	8.98	3.98	26.12	30.04	2.0	4.0	LL	24.279416919899997	26.0850670455	1.8056501255700002
