onset	duration	response_time	amountSS	amountLL	delaySS	delayLL	choice	SV_SS	SV_LL	SV_diff
8.0	9.6	4.6	3414.0	3584.7	4.0	6.0	LL	3197.50863988	3254.20491996	56.6962800838
26.6	10.0	5.0	3640.6	3731.6	2.0	4.0	SS	3521.38992427	3494.96872893	26.4211953385
45.7	10.9	5.9	4480.4	4637.2	2.0	6.0	LL	4333.69098959	4209.66860681	124.022382774
65.6	7.8	2.8	5686.0	5714.4	4.0	6.0	SS	5325.43471773	5187.55505192	137.879665811
82.4	8.1	3.1	5089.4	5140.3	2.0	4.0	SS	4922.74951397	4814.33909243	108.41042154200001
99.5	9.5	4.5	3087.7	3242.1	2.0	6.0	SS	2986.59442651	2943.1912770999998	43.403149417
118.0	7.8	2.8	3109.6	3187.3	2.0	6.0	SS	3007.77731926	2893.4436191	114.33370016100001
134.9	8.6	3.6	4441.9	4464.1	0.0	2.0	SS	4441.9	4317.92472695	123.975273053
152.5	7.7	2.7	4221.1	4233.8	0.0	2.0	SS	4221.1	4095.1658136999995	125.93418629799999
169.2	7.8	2.8	3476.8	3598.5	0.0	4.0	SS	3476.8	3370.30897498	106.49102501600001
186.0	9.7	4.7	3556.6	3681.1	4.0	6.0	SS	3331.06597205	3341.71722344	10.6512513884
204.7	7.6	2.6	3923.3	3927.2	0.0	4.0	SS	3923.3	3678.16518176	245.13481824099998
221.3	8.7	3.7	3911.9	3951.0	4.0	6.0	SS	3663.83539787	3586.7335170999995	77.10188076729999
239.1	7.5	2.5	3530.6	3583.6	0.0	4.0	SS	3530.6	3356.35382597	174.24617403
255.6	10.6	5.6	4774.7	5013.4	0.0	4.0	SS	4774.7	4695.48617902	79.2138209846
275.2	8.4	3.4	4343.4	4386.8	2.0	6.0	SS	4201.17700298	3982.35449072	218.822512264
292.7	8.5	3.5	3814.3	3909.7	0.0	4.0	SS	3814.3	3661.77490607	152.525093929
