onset	duration	response_time	amountSS	amountLL	delaySS	delayLL	choice	SV_SS	SV_LL	SV_diff
8.0	9.45	4.45	27.42	31.53	0.0	2.0	SS	27.42	28.6247369241	1.20473692415
26.47	8.1	3.1	20.78	21.82	0.0	4.0	SS	20.78	18.1381439808	2.64185601925
43.6	8.129999999999999	3.13	34.56	46.66	0.0	2.0	LL	34.56	42.3606160761	7.80061607614
60.75	10.35	5.35	28.27	35.34	0.0	4.0	LL	28.27	29.3768106453	1.1068106452700002
80.11	10.86	5.86	16.7	19.2	4.0	6.0	LL	13.882080865199999	14.7184575469	0.8363766817280001
99.99	8.56	3.56	27.77	41.66	0.0	2.0	LL	27.77	37.82133017	10.05133017
117.58	8.120000000000001	3.12	21.44	22.08	0.0	4.0	SS	21.44	18.3542721858	3.08572781416
134.72	8.14	3.14	21.53	21.75	4.0	6.0	SS	17.8970779058	16.6732526899	1.22382521597
151.87	7.779999999999999	2.78	21.62	21.84	0.0	2.0	SS	21.62	19.827600838	1.7923991619599997
168.67	9.15	4.15	12.94	13.33	2.0	4.0	SS	11.7476719251	11.0807268223	0.666945102763
186.84	10.6	5.6	7.18	9.69	2.0	6.0	LL	6.51841456122	7.428221543210001	0.909806981989
206.47	9.51	4.51	11.77	12.36	2.0	6.0	SS	10.6854790231	9.47500704583	1.2104719772299999
225.0	8.08	3.08	16.76	16.93	2.0	4.0	SS	15.215686357400001	14.073271200499999	1.1424151569299998
242.1	7.55	2.55	14.51	14.66	2.0	6.0	SS	13.173007699600001	11.2381556061	1.93485209349
258.67	10.309999999999999	5.31	21.5	23.65	2.0	4.0	SS	19.5189293964	19.6593540396	0.140424643212
278.0	11.66	6.66	24.79	27.27	4.0	6.0	SS	20.6069930927	20.904809234600002	0.297816141908
298.68	8.02	3.02	18.93	28.4	4.0	6.0	LL	15.735795855	21.7710517882	6.035255933180001
