onset	duration	response_time	amountSS	amountLL	delaySS	delayLL	choice	SV_SS	SV_LL	SV_diff
8.0	8.7	3.7	3689.4	3873.9	0.0	2.0	LL	3689.4	3858.31287264	168.912872643
25.7	10.7	5.7	3412.9	3423.2	2.0	6.0	SS	3399.16776454	3382.20882988	16.9589346574
45.4	13.3	8.3	4357.4	4422.8	4.0	6.0	LL	4322.47542176	4369.83910166	47.3636798972
67.7	9.7	4.7	4497.2	4722.1	4.0	6.0	LL	4461.15492421	4665.55512841	204.400204204
86.4	14.3	9.3	3428.9	3446.0	4.0	6.0	SS	3401.41735293	3404.73581087	3.3184579352599997
109.8	12.3	7.3	5245.6	5324.2	2.0	4.0	LL	5224.49366394	5281.52651594	57.032851996000005
131.2	15.0	10.0	4926.8	5049.9	2.0	6.0	LL	4906.97639612	4989.429881399999	82.4534852794
155.2	12.1	7.1	4904.9	5076.6	2.0	4.0	LL	4885.16451355	5035.91103092	150.746517369
176.4	14.0	9.0	5140.1	5155.5	0.0	2.0	SS	5140.1	5134.7561927	5.34380729705
199.5	12.6	7.6	4343.0	4560.2	0.0	4.0	LL	4343.0	4523.64997896	180.649978959
221.1	14.3	9.3	3750.6	3881.9	0.0	2.0	LL	3750.6	3866.28068363	115.68068363
244.5	10.4	5.4	4663.1	4779.6	2.0	4.0	LL	4644.33742648	4741.29148709	96.95406061540001
263.9	13.3	8.3	3792.9	3887.7	0.0	2.0	LL	3792.9	3872.0573465999996	79.15734659510001
286.2	12.1	7.1	3465.8	3469.3	4.0	6.0	SS	3438.02159929	3427.7568045999997	10.2647946888
307.3	9.3	4.3	4950.1	5123.4	4.0	6.0	LL	4910.42492892	5062.04975433	151.62482541
325.6	9.8	4.8	3976.8	3988.7	4.0	6.0	SS	3944.92593227	3940.93723993	3.98869233182
344.4	9.6	4.6	4311.4	4324.4	0.0	4.0	SS	4311.4	4289.73991689	21.6600831085
363.0	14.3	9.3	4539.6	4766.5	2.0	4.0	LL	4521.33434437	4728.29648364	206.962139273
386.3	9.3	4.3	4401.3	4511.3	0.0	4.0	LL	4401.3	4475.14191265	73.8419126521
404.7	8.9	3.9	3090.2	3099.5	2.0	4.0	SS	3077.76618886	3074.65749524	3.1086936269
