onset	duration	response_time	amountSS	amountLL	delaySS	delayLL	choice	SV_SS	SV_LL	SV_diff
8.0	9.878	4.878	23.77	23.77	0.0	2.0	SS	23.77	22.494698375100004	1.27530162489
26.899	8.464	3.464	0.16	16.31	0.0	4.0	LL	0.16	14.648996286500001	14.4889962865
44.381	10.195	5.195	20.69	23.79	4.0	6.0	LL	18.5829388822	20.331938036	1.74899915379
63.596000000000004	8.416	3.4160000000000004	12.04	18.06	2.0	4.0	LL	11.3940331694	16.220777004000002	4.82674383458
81.028	10.341000000000001	5.341	15.51	15.67	0.0	4.0	SS	15.51	14.0741736242	1.43582637585
100.39	13.31	8.31	12.98	17.52	0.0	2.0	LL	12.98	16.5800216883	3.60002168834
122.73	9.17	4.17	17.96	24.25	2.0	4.0	LL	16.996414927100002	21.7803899417	4.783975014559999
140.92	10.059999999999999	5.06	28.11	29.52	0.0	4.0	SS	28.11	26.5136953022	1.59630469783
160.01	9.9	4.9	34.64	35.68	0.0	4.0	SS	34.64	32.0463634276	2.59363657245
178.94	13.95	8.95	9.31	10.71	2.0	6.0	SS	8.810502392610001	9.1532180061	0.34271561349699997
201.92	12.59	7.59	12.31	12.43	2.0	6.0	LL	11.6495472023	10.6232025972	1.0263446050700002
223.53	14.63	9.63	22.41	23.53	2.0	4.0	LL	21.2076647281	21.1337144465	0.0739502815919
247.18	9.17	4.17	32.73	49.1	0.0	2.0	LL	32.73	46.465700051199995	13.735700051199998
265.37	12.16	7.16	23.24	24.4	4.0	6.0	SS	20.8732479276	20.8532697805	0.0199781471068
286.56	12.940000000000001	7.94	5.89	5.95	2.0	4.0	SS	5.573991309609999	5.34405443929	0.229936870317
308.53	7.58	2.58	18.4	21.16	0.0	2.0	LL	18.4	20.0247293907	1.62472939072
325.13	11.1	6.1	22.34	24.57	2.0	6.0	LL	21.1414203492	20.9985589552	0.142861393997
345.24	9.26	4.26	29.49	36.86	4.0	6.0	LL	26.486750489899997	31.502111643800003	5.01536115392
363.52	8.04	3.04	15.92	21.49	0.0	4.0	LL	15.92	19.3014672101	3.38146721015
380.57	9.2	4.2	35.23	44.04	2.0	6.0	LL	33.339849548000004	37.6384426694	4.2985931214
398.79	13.12	8.12	35.82	39.4	0.0	4.0	SS	35.82	35.387520152600004	0.432479847377
420.94	11.02	6.02	6.51	7.16	0.0	2.0	LL	6.51	6.77585361236	0.265853612359
440.99	9.309999999999999	4.31	12.27	15.34	0.0	4.0	LL	12.27	13.777780688900002	1.50778068886
459.32	11.75	6.75	23.54	24.25	2.0	4.0	SS	22.277038273000002	21.7803899417	0.49664833138400005
