onset	duration	response_time	amountSS	amountLL	delaySS	delayLL	choice	SV_SS	SV_LL	SV_diff
8.0	8.0	3.0	4350.2	4393.7	0.0	4.0	LL	4350.2	4380.91087984	30.710879835100002
25.0	10.2	5.2	3895.6	3915.1	2.0	6.0	LL	3889.92210759	3898.03081535	8.10870775693
44.2	9.7	4.7	3952.2	4011.5	4.0	6.0	LL	3940.69599183	3994.01052738	53.314535559300005
62.9	11.9	6.9	3584.3	3673.9	2.0	6.0	LL	3579.07583177	3657.88240722	78.8065754511
83.8	8.9	3.9	5880.5	5968.8	2.0	6.0	LL	5871.92908761	5942.77702502	70.84793740939999
101.7	10.1	5.1	3395.9	3446.8	0.0	2.0	LL	3395.9	3441.77623997	45.8762399737
120.8	9.4	4.4	4349.1	4566.5	2.0	6.0	LL	4342.76112489	4546.59081972	203.829694829
139.2	11.4	6.4	4755.2	4759.9	2.0	6.0	SS	4748.26922836	4739.14762789	9.12160046876
159.6	10.1	5.1	4521.9	4526.4	0.0	4.0	SS	4521.9	4513.22461854	8.67538145859
178.7	10.1	5.1	3817.6	3829.1	0.0	2.0	LL	3817.6	3823.51903229	5.919032285959999
197.8	8.8	3.8	4121.6	4265.8	2.0	6.0	LL	4115.59270938	4247.20182169	131.609112317
215.6	8.6	3.6	3869.3	3888.7	0.0	2.0	LL	3869.3	3883.03216444	13.7321644382
233.2	11.3	6.3	4458.0	4480.3	4.0	6.0	LL	4445.0237163	4460.76663738	15.742921078800002
253.5	12.2	7.2	4706.9	4721.1	0.0	4.0	SS	4706.9	4707.35788852	0.457888519764
274.8	13.7	8.7	3640.1	3643.7	4.0	6.0	SS	3629.50444812	3627.81407419	1.6903739213100002
297.6	12.1	7.1	4150.8	4154.9	0.0	2.0	SS	4150.8	4148.84417415	1.9558258481200002
318.7	9.3	4.3	4899.6	4948.6	2.0	4.0	LL	4892.45876331	4934.19568472	41.73692141
