onset	duration	response_time	amountSS	amountLL	delaySS	delayLL	choice	SV_SS	SV_LL	SV_diff
8.0	10.3	5.3	5003.5	5128.6	0.0	2.0	LL	5003.5	5089.85469611	86.35469611309999
27.3	10.7	5.7	4344.9	4349.2	0.0	4.0	SS	4344.9	4283.97847299	60.9215270144
47.0	10.8	5.8	3831.3	3835.1	2.0	6.0	SS	3802.35547659	3749.47407099	52.8814055976
66.9	8.9	3.9	3158.9	3168.4	0.0	2.0	SS	3158.9	3144.46352205	14.4364779541
84.8	17.7	12.7	3846.0	3857.5	2.0	6.0	SS	3816.94442172	3771.37394822	45.5704734987
111.5	16.3	11.3	3772.0	3809.8	2.0	4.0	LL	3743.50347341	3752.66742996	9.16395654812
136.9	11.2	6.2	3158.0	3161.2	4.0	6.0	SS	3110.64196121	3090.62017502	20.0217861916
157.1	10.3	5.3	4791.2	4796.0	0.0	2.0	SS	4791.2	4759.76740681	31.4325931915
176.5	14.3	9.3	3930.7	3989.7	4.0	6.0	LL	3871.75438788	3900.62233084	28.8679429652
199.8	16.5	11.5	3813.3	3824.8	2.0	4.0	SS	3784.49146213	3767.44248677	17.048975358099998
225.3	12.3	7.3	3497.4	3584.9	4.0	6.0	LL	3444.95224672	3504.86026364	59.908016923299996
246.6	15.1	10.1	3702.1	3831.7	0.0	2.0	LL	3702.1	3802.75245468	100.652454685
270.7	14.1	9.1	4085.3	4105.8	0.0	2.0	SS	4085.3	4074.78169701	10.518302987
293.9	17.6	12.6	3383.3	3434.0	0.0	4.0	SS	3383.3	3382.50300658	0.796993416586
320.5	17.9	12.9	4998.8	5023.8	4.0	6.0	SS	4923.8369334	4911.63407417	12.2028592389
347.4	11.2	6.2	4018.1	4058.3	0.0	2.0	SS	4018.1	4027.64054776	9.54054775877
367.6	10.4	5.4	5076.3	5330.1	0.0	4.0	LL	5076.3	5250.16868823	173.868688232
387.0	12.6	7.6	4612.0	4616.6	2.0	4.0	SS	4577.15748128	4547.36848579	29.7889954891
408.6	14.7	9.7	4783.5	4831.4	0.0	4.0	SS	4783.5	4758.94729936	24.5527006386
