onset	duration	response_time	amountSS	amountLL	delaySS	delayLL	choice	SV_SS	SV_LL	SV_diff
8.0	7.4399999999999995	2.44	12.22	15.28	0.0	4.0	SS	12.22	9.47484337732	2.74515662268
24.47	9.36	4.36	32.35	33.97	2.0	6.0	SS	24.763734400100002	17.701583571700002	7.0621508284
42.87	15.02	10.02	17.07	23.04	2.0	4.0	LL	13.066984426900001	14.286674830699999	1.2196904038299998
66.91	8.69	3.69	28.33	29.75	0.0	4.0	SS	28.33	18.4474208426	9.88257915737
84.63	10.24	5.24	8.8	13.2	4.0	6.0	LL	5.456716081180001	6.87844872378	1.4217326425999999
103.89	12.67	7.67	17.14	23.14	4.0	6.0	LL	10.6281947308	12.0581290506	1.4299343197799999
125.59	12.85	7.85	19.43	20.4	0.0	2.0	SS	19.43	15.6160798072	3.8139201928099995
147.46	15.22	10.22	24.26	36.39	2.0	6.0	LL	18.5708870648	18.962632504400002	0.39174543959799996
171.71	8.67	3.67	20.99	23.09	0.0	4.0	SS	20.99	14.3176788994	6.6723211006300005
189.41	8.44	3.44	32.54	40.67	0.0	2.0	SS	32.54	31.1326453803	1.40735461968
206.87	9.93	4.93	16.35	16.84	2.0	6.0	SS	12.515828669000001	8.77523306882	3.74059560017
225.82	9.27	4.27	28.01	28.85	0.0	2.0	SS	28.01	22.0845050214	5.925494978550001
244.12	10.96	5.96	23.01	24.16	2.0	4.0	SS	17.6140194296	14.9811659683	2.63285346125
264.1	17.71	12.71	18.88	20.77	2.0	4.0	LL	14.4525287627	12.8790901143	1.5734386484
290.83	9.780000000000001	4.78	15.89	18.27	0.0	2.0	SS	15.89	13.9855773567	1.9044226432599998
309.63	12.4	7.4	15.84	18.22	2.0	6.0	SS	12.125426673800002	9.49434361722	2.6310830566
331.06	7.79	2.79	25.89	29.77	0.0	4.0	SS	25.89	18.4598224701	7.430177529910001
347.86	19.02	14.02	12.43	14.29	2.0	4.0	SS	9.51509176487	8.860962818189998	0.654128946681
375.91	8.05	3.05	9.01	12.16	0.0	4.0	SS	9.01	7.540189494	1.469810506
