onset	duration	response_time	amountSS	amountLL	delaySS	delayLL	choice	SV_SS	SV_LL	SV_diff
12.040999999999999	9.727	4.727	3019.4	3022.4	4.0	6.0	SS	2851.72282658	2777.43616232	74.2866642543
30.805	10.475	5.475	3807.5	3997.9	4.0	6.0	LL	3596.0570518	3673.8724303000004	77.815378508
50.324	7.66	2.66	4056.8	4060.9	2.0	6.0	SS	3940.93923925	3731.76631537	209.17292387900002
67.01	10.109	5.109	3908.3	3920.0	0.0	4.0	SS	3908.3	3702.30955825	205.990441748
86.152	14.047	9.047	3945.2	4142.4	2.0	6.0	SS	3832.52649544	3806.66078574	25.865709701700002
109.226	9.733	4.7330000000000005	3847.6	3982.2	2.0	6.0	SS	3737.71391662	3659.44490657	78.2690100534
127.99	10.305	5.305	4653.3	4723.1	0.0	2.0	SS	4653.3	4588.20994895	65.0900510486
147.32	10.807	5.807	4334.6	4339.0	2.0	6.0	SS	4210.80537036	3987.32646517	223.478905188
167.15900000000002	11.623999999999999	6.624	4329.6	4437.8	4.0	6.0	SS	4089.16312842	4078.11878016	11.044348258800001
187.812	13.531	8.531	3428.9	3446.0	2.0	6.0	SS	3330.97183925	3166.70361811	164.26822114200002
210.36700000000002	9.871	4.871	3517.5	3535.1	4.0	6.0	SS	3322.16170182	3248.5821126999995	73.57958912229999
229.261	10.065000000000001	5.065	3094.2	3140.6	2.0	6.0	SS	3005.83075185	2886.05611812	119.77463373
248.355	10.003	5.003	3676.7	3713.4	4.0	6.0	SS	3472.52080429	3412.43099695	60.089807345
267.39099999999996	11.495000000000001	6.495	5063.2	5139.1	0.0	4.0	SS	5063.2	4853.70894153	209.491058466
287.914	9.379999999999999	4.38	3814.3	3909.7	0.0	2.0	LL	3814.3	3798.04036277	16.2596372265
306.324	7.898	2.898	3235.0	3238.2	0.0	4.0	SS	3235.0	3058.3721458	176.627854201
323.245	9.633	4.633	3380.3	3549.3	2.0	4.0	LL	3283.75983791	3352.19574365	68.4359057372
341.903	11.078	6.077999999999999	5910.5	6117.3	0.0	2.0	LL	5910.5	5942.59209433	32.092094328
362.01300000000003	9.392	4.3919999999999995	4521.9	4526.4	2.0	6.0	SS	4392.75614917	4159.53779948	233.218349696
380.435	12.457999999999998	7.457999999999999	4247.7	4353.9	4.0	6.0	LL	4011.81130372	4001.01882846	10.7924752599
