onset	duration	response_time	amountSS	amountLL	delaySS	delayLL	choice	SV_SS	SV_LL	SV_diff
8.0	8.7	3.7	4515.1	4537.7	2.0	6.0	SS	4459.15556318	4373.10543674	86.0501264381
25.7	7.1	2.1	3231.2	3247.4	0.0	2.0	SS	3231.2	3207.16302538	24.0369746235
41.9	9.2	4.2	4600.9	4715.9	0.0	4.0	LL	4600.9	4600.4653884	0.43461160201899995
60.2	10.4	5.4	4788.6	4836.5	2.0	4.0	LL	4729.26675596	4718.11337199	11.15338397
79.6	7.5	2.5	3467.9	3478.3	2.0	4.0	SS	3424.93091572	3393.15904927	31.771866445500002
96.1	8.3	3.3	4125.1	4137.5	0.0	2.0	SS	4125.1	4086.23422353	38.8657764688
113.4	11.1	6.1	3070.4	3116.5	0.0	4.0	SS	3070.4	3040.21509848	30.184901515700002
133.5	7.4	2.4	4319.4	4427.4	4.0	6.0	LL	4213.67081546	4266.80631391	53.1354984485
149.9	11.6	6.6	3367.9	3418.4	2.0	4.0	LL	3326.16996772	3334.72526638	8.555298657989999
170.5	7.7	2.7	3418.6	3428.9	2.0	6.0	SS	3376.24176835	3304.52459	71.71717835189999
187.2	8.3	3.3	4575.9	4804.7	2.0	4.0	LL	4519.20221957	4687.09176438	167.889544813
204.5	8.7	3.7	3251.6	3254.8	2.0	6.0	SS	3211.31098519	3136.73966448	74.5713207118
222.2	6.9	1.9	4361.2	4365.6	4.0	6.0	SS	4254.4476456	4207.24796585	47.1996797466
238.2	7.5	2.5	3771.1	3789.9	0.0	4.0	SS	3771.1	3697.13178301	73.9682169916
254.7	6.9	1.9	3022.4	3173.5	2.0	6.0	LL	2984.95089237	3058.38863378	73.437741406
270.6	10.3	5.3	3972.9	4032.5	0.0	2.0	LL	3972.9	3982.53522813	9.6352281304
289.9	7.1	2.1	4582.2	4586.7	0.0	4.0	SS	4582.2	4474.42791343	107.772086566
