onset	duration	response_time	amountSS	amountLL	delaySS	delayLL	choice	SV_SS	SV_LL	SV_diff
8.0	12.32	7.32	4438.0	4504.6	2.0	6.0	SS	4383.01087227	4341.20606262	41.8048096521
29.35	9.5	4.5	3465.1	3482.4	4.0	6.0	SS	3380.28215555	3356.08400135	24.1981541976
47.88	10.54	5.54	5191.3	5373.0	4.0	6.0	LL	5064.22866702	5178.10686287	113.87819584799999
67.45	12.05	7.05	4543.7	4657.3	0.0	2.0	SS	4543.7	4599.59363124	55.893631239099996
88.53	9.05	4.05	4898.3	5069.7	2.0	6.0	LL	4837.60751592	4885.80836826	48.200852340699996
106.61	8.97	3.97	3347.3	3350.6	0.0	2.0	SS	3347.3	3309.08432371	38.2156762867
124.61	9.36	4.36	3634.0	3724.8	2.0	6.0	LL	3588.97285035	3589.69150248	0.718652128298
142.99	8.92	3.92	5221.4	5404.1	0.0	4.0	LL	5221.4	5271.81980225	50.419802252299995
160.92	6.97	1.97	3867.4	3871.3	2.0	4.0	SS	3819.48090298	3776.53929432	42.941608656599996
176.92	12.59	7.59	3133.8	3243.4	0.0	2.0	LL	3133.8	3203.21258746	69.41258745649999
198.5	8.3	3.3	3968.7	4008.3	0.0	4.0	SS	3968.7	3910.18584285	58.5141571459
215.9	9.6	4.6	4117.9	4159.0	2.0	6.0	SS	4066.87707772	4008.1419026	58.7351751252
234.5	10.5	5.5	3485.5	3537.7	4.0	6.0	SS	3400.18280949	3409.37812186	9.195312373810001
254.0	8.7	3.7	3271.7	3288.0	2.0	4.0	SS	3231.16193574	3207.51716471	23.644771031399998
271.7	9.1	4.1	3329.7	3339.7	4.0	6.0	SS	3248.19644262	3218.56011351	29.636329105100003
289.8	6.8	1.8	4164.1	4372.3	0.0	4.0	LL	4164.1	4265.2759426	101.175942597
305.6	7.7	2.7	3511.2	3686.7	0.0	2.0	LL	3511.2	3641.01986994	129.819869944
322.3	7.9	2.9	4207.8	4418.2	4.0	6.0	LL	4104.80253214	4257.94002262	153.137490479
339.3	7.5	2.5	5232.9	5285.3	0.0	2.0	SS	5232.9	5219.81238468	13.087615316199999
355.9	11.2	6.2	4354.9	4398.5	4.0	6.0	SS	4248.30185541	4238.95459451	9.34726089907
376.1	8.2	3.2	3847.6	3982.2	2.0	4.0	LL	3799.92623528	3884.72471208	84.7984767988
393.3	7.9	2.9	3293.8	3303.7	0.0	4.0	SS	3293.8	3222.83286407	70.96713593369999
410.2	9.7	4.7	3528.8	3617.0	2.0	4.0	LL	3485.07633305	3528.46398563	43.38765258
