onset	duration	response_time	amountSS	amountLL	delaySS	delayLL	choice	SV_SS	SV_LL	SV_diff
12.020999999999999	10.899000000000001	5.899	4081.6	4224.4	2.0	4.0	LL	4064.85841957	4189.88695077	125.02853119999999
31.941999999999997	11.106	6.106	4784.4	4832.2	2.0	6.0	LL	4764.77573074	4773.22282133	8.44709058471
52.076	13.7	8.7	4190.6	4232.5	0.0	4.0	SS	4190.6	4197.92077435	7.32077434513
74.807	10.777000000000001	5.777	3167.6	3183.5	2.0	6.0	SS	3154.60739167	3144.64526545	9.9621262213
94.61	10.829	5.829	4695.8	4709.9	0.0	4.0	SS	4695.8	4671.42045011	24.3795498906
114.47200000000001	11.711	6.711	5686.0	5714.4	4.0	6.0	LL	5639.54578214	5644.65553789	5.10975574649
135.208	9.671	4.671	4464.2	4531.2	2.0	6.0	LL	4445.88910149	4475.8965374	30.007435901999997
153.901	13.37	8.37	4112.6	4124.9	2.0	4.0	LL	4095.73126625	4091.19985874	4.53140751666
176.30200000000002	9.536999999999999	4.537	4528.7	4574.0	0.0	2.0	LL	4528.7	4555.23873264	26.5387326352
194.86599999999999	10.869	5.869	4706.9	4721.1	0.0	4.0	SS	4706.9	4682.5289469	24.3710530984
214.763	10.004	5.004	4044.9	4146.1	0.0	4.0	LL	4044.9	4112.22665623	67.32665623449999
233.799	11.943	6.943	4464.7	4478.1	2.0	4.0	SS	4446.38705063	4441.51423972	4.872810917930001
254.771	8.619	3.6189999999999998	3109.6	3187.3	4.0	6.0	LL	3084.19478793	3148.39888631	64.2040983806
272.413	12.009	7.0089999999999995	4696.1	4766.6	2.0	6.0	LL	4676.83791262	4708.42347174	31.585559119099997
293.444	11.754	6.754	5196.3	5201.5	0.0	2.0	SS	5196.3	5180.16490332	16.1350966764
314.22700000000003	10.027000000000001	5.027	4045.3	4049.3	0.0	2.0	SS	4045.3	4032.69090513	12.609094871099998
333.286	10.280000000000001	5.28	4515.1	4537.7	4.0	6.0	LL	4478.21195233	4482.31720466	4.10525232415
352.593	9.628	4.628	4791.8	4911.6	2.0	6.0	LL	4772.14537802	4851.65374141	79.5083633934
371.251	10.617999999999999	5.617999999999999	4249.6	4253.8	4.0	6.0	SS	4214.88106855	4201.88221459	12.9988539597
390.901	13.208	8.208	3654.3	3672.6	0.0	4.0	SS	3654.3	3642.59511775	11.704882254000001
