onset	duration	response_time	amountSS	amountLL	delaySS	delayLL	choice	SV_SS	SV_LL	SV_diff
8.0	8.4	3.4	3604.3	3615.2	4.0	6.0	SS	3236.13750227	3088.20140574	147.936096534
25.4	7.8	2.8	4108.9	4121.3	0.0	2.0	SS	4108.9	3899.4855178999996	209.41448209799998
42.2	9.2	4.2	3388.4	3398.5	2.0	6.0	SS	3206.03128354	2903.09041751	302.940866027
60.4	6.7	1.7	3778.5	3910.8	0.0	4.0	SS	3778.5	3511.32995141	267.170048586
76.1	7.4	2.4	3646.2	3700.9	0.0	2.0	SS	3646.2	3501.71206978	144.487930215
92.5	8.3	3.3	3770.0	3901.9	4.0	6.0	SS	3384.91201719	3333.10828309	51.803734096199996
109.9	6.8	1.8	5044.7	5170.8	0.0	2.0	SS	5044.7	4892.49987042	152.200129579
125.7	8.7	3.7	3411.4	3445.5	4.0	6.0	SS	3062.94134097	2943.23908593	119.70225503399999
143.4	10.6	5.6	3640.3	3676.7	2.0	4.0	SS	3444.37365172	3301.14217868	143.23147304100002
163.0	9.4	4.4	4588.9	4703.6	2.0	6.0	SS	4341.91859197	4017.94205909	323.976532883
181.5	9.2	4.2	3843.5	4035.7	2.0	6.0	SS	3636.63712616	3447.40385404	189.233272121
199.7	8.7	3.7	4334.6	4339.0	2.0	4.0	SS	4101.30539536	3895.79131103	205.514084328
217.5	8.5	3.5	4951.7	5125.0	0.0	2.0	SS	4951.7	4849.16489439	102.53510561
235.0	8.6	3.6	3454.7	3472.0	2.0	4.0	SS	3268.76291915	3117.35133254	151.411586608
252.6	9.0	4.0	3699.4	3884.4	0.0	4.0	SS	3699.4	3487.62658875	211.773411253
270.6	8.4	3.4	4389.1	4393.5	0.0	4.0	SS	4389.1	3944.72438927	444.375610735
