onset	duration	response_time	amountSS	amountLL	delaySS	delayLL	choice	SV_SS	SV_LL	SV_diff
8.0	7.8	2.8	3320.5	3323.8	4.0	6.0	SS	3212.69105013	3164.51172103	48.17932909979999
24.9	9.5	4.5	4304.0	4316.9	4.0	6.0	SS	4164.2590814000005	4110.01884847	54.2402329301
43.4	8.0	3.0	3495.8	3499.3	0.0	2.0	SS	3495.8	3441.55549883	54.2445011742
60.4	8.3	3.3	5504.2	5696.9	0.0	2.0	LL	5504.2	5602.89129862	98.6912986199
77.8	11.2	6.2	3879.1	4073.0	2.0	4.0	LL	3815.08814206	3940.75911676	125.670974703
98.0	8.0	3.0	4148.2	4355.6	0.0	2.0	LL	4148.2	4283.72506807	135.525068067
115.0	8.0	3.0	4249.6	4253.8	0.0	4.0	SS	4249.6	4115.68895921	133.911040789
132.0	8.3	3.3	4385.2	4398.4	2.0	6.0	SS	4312.83661688	4187.61307955	125.223537334
149.4	11.8	6.8	4656.8	4819.8	2.0	6.0	SS	4579.95474722	4588.81809767	8.863350455900001
170.2	10.8	5.8	3235.9	3397.7	4.0	6.0	LL	3130.83781633	3234.87017106	104.032354725
190.0	8.4	3.4	3518.7	3553.9	0.0	2.0	SS	3518.7	3495.25450441	23.4454955914
207.4	9.2	4.2	3721.6	3732.8	2.0	4.0	SS	3660.18716441	3611.60462338	48.5825410307
225.6	8.3	3.3	4442.6	4464.8	0.0	4.0	SS	4442.6	4319.83827756	122.76172244
242.9	7.7	2.7	3809.9	3829.0	2.0	4.0	SS	3747.03006172	3704.68123203	42.3488296875
259.7	9.2	4.2	4247.7	4353.9	2.0	4.0	SS	4177.60560465	4212.53894389	34.9333392346
278.0	13.1	8.1	4185.6	4394.9	2.0	6.0	LL	4116.53036204	4184.28081195	67.7504499146
300.2	8.2	3.2	5978.8	5996.7	0.0	2.0	SS	5978.8	5897.74408019	81.05591981
