onset	duration	response_time	amountSS	amountLL	delaySS	delayLL	choice	SV_SS	SV_LL	SV_diff
8.0	8.93	3.93	3904.8	3963.4	2.0	6.0	SS	3840.36404761	3773.45982163	66.90422597979999
25.97	9.75	4.75	3905.6	3944.7	0.0	4.0	SS	3905.6	3816.62472081	88.9752791856
44.75	10.809999999999999	5.81	5114.8	5293.8	0.0	4.0	LL	5114.8	5121.92256624	7.12256624003
64.58	8.52	3.52	3915.0	3918.9	2.0	6.0	SS	3850.39572998	3731.09241939	119.30331058799999
82.13	7.87	2.87	4695.8	4709.9	0.0	4.0	SS	4695.8	4556.98044783	138.819552168
99.03	10.95	5.95	3725.4	3781.3	4.0	6.0	LL	3604.44488426	3600.08669918	4.35818507154
119.01	11.26	6.26	3562.3	3597.9	4.0	6.0	LL	3446.64036377	3425.47587734	21.1644864264
139.29	8.28	3.28	4815.1	4935.5	4.0	6.0	LL	4658.76484731	4698.97334351	40.2084961994
156.59	8.379999999999999	3.38	3380.0	3396.9	2.0	6.0	SS	3324.22415513	3234.10850989	90.115645233
173.99	13.5	8.5	3869.3	3927.4	2.0	4.0	LL	3805.4498590000003	3799.88641177	5.56344722793
196.5	7.92	2.92	3517.5	3535.1	4.0	6.0	SS	3403.29491608	3365.68547597	37.6094401112
213.44	8.59	3.59	4440.5	4484.9	2.0	6.0	SS	4367.22407125	4269.9676929	97.25637835139999
231.0	9.8	4.8	4154.2	4299.6	2.0	4.0	LL	4085.64851634	4160.00193921	74.35342287479999
249.8	11.2	6.2	4476.9	4588.8	2.0	6.0	SS	4403.02340831	4368.88843657	34.1349717351
270.0	10.0	5.0	3945.2	4142.4	0.0	4.0	LL	3945.2	4007.90585938	62.7058593813
289.0	8.4	3.4	4617.4	4622.1	2.0	4.0	SS	4541.20491535	4472.03111062	69.1738047249
306.5	9.4	4.4	4696.1	4766.6	0.0	2.0	LL	4696.1	4687.94285734	8.15714265621
324.9	8.6	3.6	5133.8	5262.2	0.0	2.0	LL	5133.8	5175.36460033	41.5646003261
342.5	10.2	5.2	3349.8	3467.0	4.0	6.0	LL	3241.03974695	3300.84906939	59.8093224387
361.7	10.5	5.5	3572.3	3661.7	0.0	4.0	SS	3572.3	3542.81307582	29.4869241752
381.2	10.9	5.9	4594.7	4640.7	2.0	4.0	SS	4518.8795046000005	4490.02721167	28.8522929302
401.1	8.2	3.2	4094.2	4155.6	0.0	4.0	SS	4094.2	4020.67728593	73.522714068
418.3	9.0	4.0	3386.5	3403.4	0.0	2.0	SS	3386.5	3347.23801466	39.2619853388
