onset	duration	response_time	amountSS	amountLL	delaySS	delayLL	choice	SV_SS	SV_LL	SV_diff
8.0	11.629999999999999	6.63	3046.1	3091.8	2.0	6.0	SS	3029.29946034	3041.20037311	11.9009127708
28.65	13.55	8.55	4691.8	4705.9	2.0	6.0	SS	4665.92272349	4628.8844155	37.0383079968
51.23	8.89	3.89	3541.6	3594.7	0.0	4.0	LL	3541.6	3555.26489649	13.6648964941
69.15	13.28	8.28	3571.4	3607.1	0.0	4.0	LL	3571.4	3567.5288641999996	3.8711357988599997
91.44	15.0	10.0	3553.7	3564.4	0.0	2.0	SS	3553.7	3544.74081496	8.95918504095
115.46	14.31	9.31	3056.9	3072.2	2.0	4.0	SS	3040.03989374	3038.49690239	1.5429913538
138.79	14.02	9.02	3632.7	3814.4	4.0	6.0	LL	3592.84802334	3751.97448192	159.126458583
161.82	18.259999999999998	13.26	4610.1	4656.2	2.0	6.0	LL	4584.67333381	4579.99779329	4.67554052329
189.1	8.2	3.2	4394.4	4407.6	0.0	4.0	SS	4394.4	4359.24710206	35.1528979366
206.3	9.8	4.8	3505.0	3627.7	0.0	4.0	LL	3505.0	3587.90287507	82.90287506930001
225.2	10.5	5.5	3606.6	3624.6	0.0	4.0	SS	3606.6	3584.83688314	21.7631168575
244.8	11.4	6.4	3751.9	3845.7	2.0	6.0	SS	3731.20667255	3782.76223394	51.555561384099995
265.2	10.1	5.1	3827.0	3830.9	4.0	6.0	SS	3785.01648507	3768.20444704	16.812038029300002
284.4	30.2	25.2	5551.2	5828.8	2.0	4.0	LL	5520.58276624	5764.85604604	244.273279792
323.6	10.5	5.5	5314.4	5447.2	0.0	4.0	LL	5314.4	5387.44233015	73.0423301479
343.1	24.7	19.7	4464.7	4478.1	4.0	6.0	SS	4415.7206953	4404.81253342	10.908161870799999
376.8	10.7	5.7	5053.1	5103.6	2.0	4.0	LL	5025.23000002	5047.6117411000005	22.381741084699996
396.5	24.9	19.9	4118.2	4122.3	0.0	4.0	SS	4118.2	4077.07694184	41.1230581641
