onset	duration	response_time	amountSS	amountLL	delaySS	delayLL	choice	SV_SS	SV_LL	SV_diff
8.0	8.31	3.31	4441.6	4663.7	2.0	4.0	SS	4202.54649657	4187.32471474	15.2217818287
25.33	12.79	7.79	4141.8	4348.9	4.0	6.0	SS	3718.73437475	3714.94774657	3.7866281760400002
47.15	6.83	1.83	4268.6	4375.3	0.0	4.0	SS	4268.6	3928.3834346999997	340.216565301
63.0	9.96	4.96	4083.8	4124.6	0.0	2.0	SS	4083.8	3902.607907	181.192092995
81.98	7.55	2.55	3831.0	3888.4	4.0	6.0	SS	3439.68115063	3321.57621876	118.104931864
98.56	8.93	3.93	3186.2	3234.0	2.0	6.0	SS	3014.71398761	2762.57007805	252.143909564
116.51	12.190000000000001	7.19	3345.9	3513.2	0.0	2.0	LL	3345.9	3324.11436234	21.785637664499998
137.72	8.79	3.79	4388.5	4410.5	4.0	6.0	SS	3940.23511603	3767.56812901	172.66698702099998
155.54	7.779999999999999	2.78	4007.4	4011.4	2.0	6.0	SS	3791.71578493	3426.64613824	365.06964669
172.34	9.059999999999999	4.06	3654.3	3672.6	2.0	6.0	SS	3457.62015094	3137.23403483	320.386116112
190.42	10.82	5.82	4647.6	4763.8	4.0	6.0	SS	4172.86925493	4069.36652375	103.502731186
210.27	7.75	2.75	3888.6	3927.5	0.0	4.0	SS	3888.6	3526.32412401	362.27587599
227.04	9.219999999999999	4.22	4044.9	4146.1	2.0	4.0	SS	3827.19747928	3722.59514973	104.60232955299999
245.3	6.8	1.8	4508.3	4521.8	0.0	4.0	SS	4508.3	4059.91914041	448.380859593
261.1	8.9	3.9	4273.0	4285.8	2.0	4.0	SS	4043.02079878	3848.02544384	194.99535493599998
279.0	7.2	2.2	4388.5	4410.5	0.0	2.0	SS	4388.5	4173.12034472	215.379655277
295.3	11.6	6.6	3546.9	3671.1	2.0	4.0	LL	3356.00057832	3296.11419266	59.8863856687
315.9	8.8	3.8	3840.4	3844.2	4.0	6.0	SS	3448.1209843	3283.81938591	164.301598395
333.7	8.3	3.3	3860.9	3864.7	0.0	2.0	SS	3860.9	3656.6961107	204.20388929799998
351.0	9.9	4.9	3573.6	3609.3	2.0	6.0	SS	3381.2635447	3083.16146651	298.102078191
369.9	9.2	4.2	4223.6	4287.0	2.0	4.0	SS	3996.27958009	3849.10286942	147.176710671
388.1	9.3	4.3	4018.0	4078.2	0.0	4.0	SS	4018.0	3661.63081923	356.369180767
406.4	6.4	1.4	3848.1	3867.3	0.0	4.0	SS	3848.1	3472.27327429	375.826725707
421.8	7.2	2.2	3666.6	3795.0	2.0	6.0	SS	3469.25814669	3241.79141812	227.46672857099998
