onset	duration	response_time	amountSS	amountLL	delaySS	delayLL	choice	SV_SS	SV_LL	SV_diff
8.0	12.85	7.85	4956.8	5031.1	0.0	2.0	LL	4956.8	4993.09128449	36.2912844859
29.88	15.79	10.79	3706.9	3762.5	2.0	4.0	LL	3678.8952878	3706.07675081	27.1814630046
54.7	8.82	3.82	4000.7	4200.7	4.0	6.0	LL	3940.70465301	4106.91135303	166.206700018
72.55	13.96	8.96	3593.3	3719.0	0.0	4.0	LL	3593.3	3663.22908605	69.92908604649999
95.54	10.370000000000001	5.37	4191.3	4400.9	2.0	6.0	LL	4159.63576567	4302.64150583	143.00574016
114.93	13.37	8.37	3625.9	3716.6	0.0	4.0	LL	3625.9	3660.86507696	34.9650769563
137.3	25.9	20.9	3094.2	3140.6	2.0	6.0	LL	3070.82408468	3070.48010934	0.343975340448
172.2	9.2	4.2	3793.6	3812.6	0.0	4.0	SS	3793.6	3755.42544056	38.1745594351
190.4	11.4	6.4	4709.9	4827.6	2.0	4.0	LL	4674.317871	4755.20428497	80.8864139662
210.8	13.7	8.7	4632.6	4864.2	0.0	2.0	LL	4632.6	4827.45217269	194.852172685
233.6	10.6	5.6	4088.5	4293.0	2.0	4.0	LL	4057.61239423	4228.62126012	171.008865891
253.3	17.5	12.5	4276.7	4319.4	2.0	6.0	SS	4244.3905898	4222.96114892	21.429440882799998
279.8	13.0	8.0	4734.8	4782.1	4.0	6.0	LL	4663.79593348	4675.33048809	11.5345546094
301.9	8.2	3.2	4701.4	4715.5	0.0	4.0	SS	4701.4	4644.78536038	56.6146396202
319.1	16.1	11.1	3744.6	3763.3	2.0	6.0	SS	3716.31047363	3679.27714306	37.0333305711
344.2	10.0	5.0	5222.3	5405.1	2.0	4.0	LL	5182.8468158	5324.043972300001	141.197156502
363.2	11.3	6.3	3541.3	3551.9	4.0	6.0	LL	3488.19391299	3472.59705164	15.5968613522
383.5	13.4	8.4	3741.9	3760.6	2.0	4.0	LL	3713.63087146	3704.20524361	9.42562785282
406.0	13.5	8.5	3910.7	4008.4	2.0	6.0	LL	3881.15562923	3918.90481764	37.7491884107
