onset	duration	response_time	amountSS	amountLL	delaySS	delayLL	choice	SV_SS	SV_LL	SV_diff
8.0	7.468999999999999	2.469	12.11	12.11	2.0	6.0	SS	10.017544838	7.444807340260001	2.57273749777
24.499000000000002	7.919	2.9189999999999996	0.06	8.01	4.0	6.0	LL	0.042320337112600005	4.92426976015	4.88194942304
41.446999999999996	11.703	6.702999999999999	23.37	26.88	4.0	6.0	SS	16.4837713054	16.5248902813	0.0411189758938
62.178999999999995	8.935	3.935	19.65	20.24	0.0	2.0	SS	19.65	16.7427834452	2.90721655477
80.145	10.502	5.502000000000001	20.27	30.4	0.0	4.0	LL	20.27	21.4423041371	1.17230413707
99.677	8.213000000000001	3.213	22.97	24.12	2.0	6.0	SS	19.001073899999998	14.828138154200001	4.172935745869999
116.91	7.88	2.88	27.49	30.24	2.0	4.0	SS	22.740074946100002	21.3294499048	1.41062504134
133.82	9.9	4.9	39.4	49.25	4.0	6.0	LL	27.790354704000002	30.2771892244	2.48683452045
152.74	8.54	3.54	26.72	36.07	0.0	4.0	SS	26.72	25.4415759942	1.27842400579
170.31	12.2	7.2	13.66	17.08	0.0	2.0	LL	13.66	14.128791563499998	0.468791563463
191.54	7.17	2.17	20.5	22.55	0.0	4.0	SS	20.5	15.9053933648	4.59460663517
207.74	11.93	6.93	39.7	53.6	2.0	6.0	LL	32.840341046199995	32.9514181204	0.11107707415899999
228.7	7.33	2.33	26.81	29.49	0.0	2.0	SS	26.81	24.3945001877	2.4154998122699998
245.05	7.68	2.68	30.28	31.79	0.0	4.0	SS	30.28	22.422725280199998	7.85727471982
261.75	7.66	2.66	22.05	23.15	0.0	2.0	SS	22.05	19.1499721718	2.90002782821
278.43	7.2	2.2	29.57	44.36	0.0	2.0	LL	29.57	36.6951518592	7.1251518592
294.65	10.059999999999999	5.06	21.87	24.06	4.0	6.0	SS	15.4257628776	14.791252238399998	0.634510639191
313.73	7.27	2.27	30.08	34.59	0.0	4.0	SS	30.08	24.3976743454	5.6823256545700005
330.03	7.35	2.35	8.17	10.21	2.0	4.0	SS	6.758327112030001	7.20151069867	0.443183586636
346.41	9.219999999999999	4.22	19.9	20.9	2.0	4.0	SS	16.4615311542	14.7415840942	1.7199470599200002
364.66	9.809999999999999	4.81	14.02	16.12	2.0	6.0	SS	11.597520943800001	9.91001604665	1.68750489713
383.49	7.720000000000001	2.72	27.85	29.24	4.0	6.0	SS	19.6436898098	17.975736302999998	1.6679535068
400.24	9.1	4.1	22.29	22.51	2.0	6.0	SS	18.4385693179	13.83836608	4.60020323786
418.37	7.46	2.46	13.58	16.98	0.0	4.0	SS	13.58	11.976655402899999	1.6033445971200002
434.85	9.2	4.2	22.4	33.6	2.0	6.0	LL	18.5295627062	20.6561128516	2.1265501454
453.07	9.36	4.36	26.81	30.83	0.0	2.0	SS	26.81	25.5029650996	1.30703490038
