onset	duration	response_time	amountSS	amountLL	delaySS	delayLL	choice	SV_SS	SV_LL	SV_diff
8.0	8.389	3.389	20.03	20.03	0.0	4.0	SS	20.03	17.4918845524	2.5381154476299996
25.415	8.131	3.1310000000000002	0.07	9.81	0.0	4.0	LL	0.07	8.566918994439998	8.49691899444
42.56399999999999	8.907	3.907	39.6	41.58	0.0	2.0	SS	39.6	38.7673790037	0.8326209962960001
60.496	10.059000000000001	5.059	22.99	26.44	4.0	6.0	LL	20.0768060838	21.713891457600003	1.6370853738
79.578	9.07	4.07	14.45	21.68	0.0	4.0	LL	14.45	18.932803649300002	4.48280364929
97.677	9.083	4.083	9.61	10.57	2.0	4.0	SS	8.95994497897	9.230615063330001	0.27067008436
115.78	9.29	4.29	23.71	27.27	2.0	6.0	LL	22.1061701822	22.3955302591	0.289360076806
134.09	7.13	2.13	28.52	38.5	0.0	4.0	LL	28.52	33.621445594899996	5.10144559491
150.24	7.93	2.93	20.37	27.5	2.0	4.0	LL	18.9920998149	24.0153182821	5.0232184671399995
167.19	10.309999999999999	5.31	28.1	32.32	0.0	2.0	LL	28.1	30.1337587638	2.03375876382
186.52	8.25	3.25	30.04	37.55	2.0	6.0	LL	28.007986177800003	30.837996378000003	2.8300102002200003
203.8	9.379999999999999	4.38	21.79	22.44	4.0	6.0	SS	19.0288649224	18.4288851857	0.599979736753
222.2	9.23	4.23	11.19	12.31	0.0	4.0	SS	11.19	10.7501297474	0.439870252639
240.45	8.02	3.02	24.84	25.09	0.0	2.0	SS	24.84	23.3928220107	1.44717798935
257.5	8.79	3.79	28.72	29.01	4.0	6.0	SS	25.0807251295	23.824507987399997	1.2562171421500001
275.31	8.51	3.51	8.26	8.34	2.0	4.0	SS	7.7012638424899995	7.28319107173	0.418072770757
292.85	7.0600000000000005	2.06	36.96	55.44	4.0	6.0	LL	32.276587771100004	45.5301869293	13.2535991582
308.93	8.24	3.24	24.89	28.62	2.0	4.0	LL	23.2063507312	24.9933966994	1.7870459682099997
326.19	8.02	3.02	16.65	17.15	0.0	2.0	SS	16.65	15.9899122153	0.660087784667
343.23	8.42	3.42	10.79	12.41	0.0	4.0	LL	10.79	10.8374581775	0.0474581774776
360.68	8.92	3.92	16.87	18.56	0.0	2.0	LL	16.87	17.3045347357	0.43453473566000006
378.62	7.12	2.12	23.17	28.96	0.0	4.0	LL	23.17	25.2903133618	2.12031336178
394.77	9.76	4.76	17.15	18.01	2.0	6.0	SS	15.9899122153	14.7907407395	1.19917147586
413.56	7.279999999999999	2.28	12.92	16.15	2.0	4.0	LL	12.046044654300001	14.103541463800001	2.05749680949
429.87	8.71	3.71	31.46	32.4	2.0	6.0	SS	29.3319322621	26.608550802800004	2.7233814592299996
447.6	8.09	3.09	15.54	16.01	0.0	4.0	SS	15.54	13.9812816617	1.55871833832
