onset	duration	response_time	amountSS	amountLL	delaySS	delayLL	choice	SV_SS	SV_LL	SV_diff
8.0	9.1	4.1	3742.7	3761.4	4.0	6.0	LL	3739.06935255	3755.92947199	16.860119435799998
26.12	9.1	4.1	3236.8	3246.5	2.0	4.0	LL	3235.22929137	3243.35069684	8.12140546419
44.23	8.93	3.93	4922.4	4927.3	4.0	6.0	LL	4917.62497154	4920.13380319	2.50883164659
62.18	7.05	2.05	3820.5	4011.5	4.0	6.0	LL	3816.7938818000002	4005.66573001	188.871848212
78.25	8.24	3.24	5633.7	5661.9	0.0	2.0	LL	5633.7	5659.15247307	25.4524730675
95.51	8.51	3.51	3297.7	3314.2	2.0	6.0	LL	3296.09973868	3309.37987347	13.2801347854
113.04	8.379999999999999	3.38	4384.4	4397.5	0.0	2.0	LL	4384.4	4395.36604326	10.9660432566
130.44	10.14	5.14	3462.3	3548.8	2.0	6.0	LL	3460.61986392	3543.63867448	83.0188105629
149.61	7.1899999999999995	2.19	4550.2	4777.7	0.0	4.0	LL	4550.2	4773.06533937	222.865339374
165.82	7.98	2.98	5910.5	6117.3	0.0	2.0	LL	5910.5	6114.33148298	203.831482982
182.82	9.530000000000001	4.53	4700.5	4771.0	0.0	2.0	LL	4700.5	4768.68479645	68.1847964473
201.37	6.57	1.57	4001.5	4201.6	0.0	2.0	LL	4001.5	4199.56110684	198.06110684400002
216.95	7.35	2.35	4911.2	5156.8	2.0	6.0	LL	4908.81676217	5149.30002157	240.483259401
233.32	7.8	2.8	4212.8	4254.9	2.0	6.0	LL	4210.75567187	4248.71173243	37.9560605609
250.1	8.1	3.1	4762.9	4834.3	2.0	6.0	LL	4760.5887271	4827.2690611	66.6803339984
267.2	9.0	4.0	4513.6	4558.7	0.0	4.0	LL	4513.6	4554.27778274	40.677782742
285.3	7.1	2.1	4033.0	4174.2	2.0	6.0	LL	4031.04292267	4168.12910139	137.086178715
301.4	9.0	4.0	3519.1	3536.7	2.0	4.0	LL	3517.39230081	3533.26918512	15.8768843109
319.4	7.0	2.0	4317.9	4533.8	2.0	4.0	LL	4315.80467042	4529.40193726	213.597266841
335.4	7.2	2.2	4137.5	4240.9	2.0	4.0	LL	4135.49221239	4236.78606814	101.29385575299999
351.6	9.4	4.4	3583.3	3594.1	2.0	6.0	LL	3581.56114674	3588.87279079	7.31164404339
370.0	7.7	2.7	4432.1	4498.6	0.0	4.0	LL	4432.1	4494.23608341	62.1360834104
386.7	6.8	1.8	4791.8	4911.6	0.0	2.0	LL	4791.8	4909.21656806	117.41656806299999
402.5	7.5	2.5	3646.6	3774.2	2.0	4.0	LL	3644.83042941	3770.53879563	125.708366215
419.1	8.1	3.1	5626.8	5711.2	4.0	6.0	LL	5621.34166055	5702.8937098999995	81.5520493498
