onset	duration	response_time	amountSS	amountLL	delaySS	delayLL	choice	SV_SS	SV_LL	SV_diff
8.0	8.34	3.34	16.5	20.62	4.0	6.0	LL	14.4091909692	16.9342073319	2.52501636268
25.37	7.890000000000001	2.89	26.72	26.99	0.0	4.0	SS	26.72	23.5699432885	3.1500567115099996
42.28	7.76	2.76	7.91	10.68	0.0	2.0	LL	7.91	9.95756632418	2.04756632418
59.06	6.9399999999999995	1.94	24.08	36.12	2.0	6.0	LL	22.4511420493	29.6636066358	7.212464586469999
75.03	9.14	4.14	26.52	27.85	2.0	4.0	SS	24.7260916589	24.3209677875	0.405123871438
93.19	7.68	2.68	32.79	40.99	0.0	2.0	LL	32.79	38.2172887292	5.42728872924
109.89	7.220000000000001	2.22	21.18	28.59	4.0	6.0	LL	18.496161498699998	23.4795823288	4.98342083009
126.14	7.52	2.52	13.25	13.91	0.0	4.0	SS	13.25	12.147384629200001	1.1026153707700002
142.69	8.870000000000001	3.87	14.19	15.61	2.0	6.0	SS	13.230137279000001	12.819736976300002	0.410400302738
160.59	8.57	3.57	15.17	15.93	4.0	6.0	SS	13.247722848699999	13.082537478099999	0.165185370637
178.19	6.83	1.83	28.65	42.98	0.0	2.0	LL	28.65	40.0726779601	11.4226779601
194.04	8.46	3.46	25.19	27.71	4.0	6.0	LL	21.9980315464	22.756880949	0.758849402581
211.54	7.12	2.12	37.07	55.6	2.0	4.0	LL	34.5624516515	48.5546071449	13.992155493399999
227.69	7.5	2.5	24.92	33.64	2.0	6.0	LL	23.2343214231	27.6269027471	4.39258132405
244.22	8.17	3.17	20.44	20.64	2.0	6.0	SS	19.0573647628	16.9506323633	2.10673239948
261.42	8.28	3.28	19.53	20.12	2.0	4.0	SS	18.2089204411	17.5704801395	0.6384403016619999
