onset	duration	response_time	amountSS	amountLL	delaySS	delayLL	choice	SV_SS	SV_LL	SV_diff
8.0	8.3	3.3	4719.6	4724.3	0.0	2.0	LL	4719.6	4722.00745836	2.40745836431
25.4	8.4	3.4	3890.7	3902.4	0.0	4.0	LL	3890.7	3898.6144338	7.914433801810001
42.8	6.8	1.8	4192.4	4339.2	0.0	4.0	LL	4192.4	4334.99071114	142.59071114
58.6	8.2	3.2	5904.7	6052.4	4.0	6.0	LL	5898.97208058	6043.59747335	144.62539276299998
75.9	8.2	3.2	3459.7	3494.3	2.0	4.0	LL	3458.02112561	3490.91031571	32.8891901052
93.1	8.9	3.9	3214.8	3218.0	0.0	4.0	SS	3214.8	3214.87834358	0.0783435768312
111.1	8.0	3.0	4365.2	4474.3	0.0	4.0	LL	4365.2	4469.95965589	104.75965589399999
128.1	7.9	2.9	3115.9	3162.7	2.0	4.0	LL	3114.38796002	3159.63198795	45.2440279334
145.0	14.4	9.4	3662.8	3666.4	2.0	6.0	LL	3661.0225681	3661.06763867	0.04507056382230001
168.4	7.1	2.1	3100.3	3115.8	0.0	4.0	LL	3100.3	3112.77748382	12.477483815
184.5	8.2	3.2	4908.7	4913.6	2.0	4.0	LL	4906.31797533	4908.83350808	2.5155327447599998
201.8	7.0	2.0	4730.2	4777.5	4.0	6.0	LL	4725.61141727	4770.55167023	44.9402529582
217.8	7.3	2.3	3598.2	3634.2	0.0	2.0	LL	3598.2	3632.43644671	34.2364467091
234.1	7.6	2.6	3802.1	3813.5	4.0	6.0	LL	3798.41173092	3807.95369847	9.54196754375
250.7	6.7	1.7	4024.6	4165.5	4.0	6.0	LL	4020.69589234	4159.44175455	138.745862205
