onset	duration	response_time	amountSS	amountLL	delaySS	delayLL	choice	SV_SS	SV_LL	SV_diff
8.0	10.86	5.86	11.01	16.52	2.0	4.0	LL	8.8487026684	11.098418356300002	2.2497156879499998
27.88	8.48	3.48	14.22	14.93	0.0	2.0	SS	14.22	11.999194445	2.22080555502
45.38	11.96	6.96	13.65	17.06	4.0	6.0	LL	9.17030330291	9.84561783826	0.675314535349
66.36	8.44	3.44	17.38	26.07	0.0	4.0	LL	17.38	17.5142715829	0.134271582925
83.83	13.06	8.06	38.63	39.79	2.0	4.0	SS	31.046810543200003	26.7316020823	4.3152084609
105.91	10.07	5.07	17.17	21.46	0.0	4.0	SS	17.17	14.4171947898	2.75280521022
125.01	7.9399999999999995	2.94	19.99	22.99	2.0	6.0	SS	16.0659006668	13.2679222803	2.7979783864999996
141.97	8.58	3.58	12.59	12.72	0.0	4.0	SS	12.59	8.54551340755	4.04448659245
159.57	11.61	6.61	26.02	28.62	2.0	6.0	SS	20.9121928639	16.517091590299998	4.39510127359
180.21	9.76	4.76	36.1	48.74	2.0	4.0	LL	29.0134574323	32.7443650538	3.7309076215099997
198.99	9.2	4.2	29.29	39.54	0.0	4.0	LL	29.29	26.563647809299997	2.72635219068
217.22	8.59	3.59	35.29	38.82	0.0	4.0	SS	35.29	26.079939503200002	9.21006049677
234.83	12.95	7.95	21.49	26.86	2.0	4.0	SS	17.271445989500002	18.045007085399998	0.773561095985
256.8	8.58	3.58	24.4	25.62	4.0	6.0	SS	16.3923370396	14.7857402706	1.60659676905
274.4	13.35	8.35	16.78	16.95	2.0	6.0	SS	13.486033676300002	9.782134956539998	3.7038987197300006
296.78	8.79	3.79	36.37	36.73	2.0	4.0	SS	29.230455590300004	24.6758417814	4.55461380895
314.6	10.11	5.11	17.77	22.21	0.0	2.0	SS	17.77	17.8501077443	0.080107744334
