onset	duration	response_time	amountSS	amountLL	delaySS	delayLL	choice	SV_SS	SV_LL	SV_diff
8.0	10.4	5.4	3258.9	3340.4	0.0	2.0	LL	3258.9	3321.97627042	63.0762704212
8.0	10.5	5.5	3101.0	3132.1	4.0	6.0	LL	3066.98095642	3080.84083338	13.859876959500001
27.4	8.9	3.9	3065.3	3080.6	2.0	6.0	LL	3048.39356416	3030.18366952	18.209894643
45.4	10.2	5.2	3342.9	3510.0	0.0	2.0	LL	3342.9	3490.64085414	147.74085414299998
64.6	10.5	5.5	3362.0	3395.7	0.0	2.0	LL	3362.0	3376.97126735	14.971267354
84.1	10.9	5.9	4209.2	4419.6	0.0	4.0	LL	4209.2	4371.11545791	161.915457909
104.0	7.4	2.4	4230.7	4243.4	2.0	4.0	SS	4207.3658865	4196.84843291	10.517453591499999
120.4	8.7	3.7	3953.1	4091.4	2.0	6.0	LL	3931.29696881	4024.44116908	93.1442002722
138.1	15.9	10.9	3511.6	3634.5	2.0	4.0	LL	3492.23202946	3594.62827672	102.396247254
163.1	8.6	3.6	3411.5	3462.7	0.0	2.0	LL	3411.5	3443.6017338	32.1017338006
180.8	20.2	15.2	3614.4	3704.8	4.0	6.0	LL	3574.74878067	3644.16816816	69.4193874846
210.1	17.9	12.9	4626.2	4649.4	4.0	6.0	LL	4575.44898438	4573.30908039	2.13990399094
237.0	15.5	10.5	3223.6	3384.8	2.0	6.0	LL	3205.8204722	3329.40520827	123.584736068
261.5	8.8	3.8	3742.9	3761.6	0.0	2.0	LL	3742.9	3740.85317292	2.0468270817099996
279.3	10.2	5.2	3830.1	3833.9	2.0	4.0	SS	3808.97536623	3791.84078968	17.134576544
298.6	11.2	6.2	3845.8	3980.3	0.0	2.0	LL	3845.8	3958.34694921	112.546949215
318.8	11.6	6.6	5392.0	5472.9	4.0	6.0	LL	5332.84789326	5383.33188499	50.4839917325
339.4	11.5	6.5	4482.4	4486.9	0.0	2.0	SS	4482.4	4462.15283432	20.2471656829
359.9	7.7	2.7	3625.3	3679.7	2.0	4.0	LL	3605.30492551	3639.33241707	34.0274915613
376.6	10.9	5.9	4328.1	4479.6	4.0	6.0	LL	4280.61924459	4406.2879848	125.668740212
396.5	9.9	4.9	3993.8	4093.6	2.0	4.0	LL	3971.77249096	4048.69179077	76.9192998104
415.5	10.5	5.5	3955.4	3959.4	2.0	6.0	SS	3933.58428333	3894.60144812	38.9828352034
