onset	duration	response_time	amountSS	amountLL	delaySS	delayLL	choice	SV_SS	SV_LL	SV_diff
8.0	21.75	16.75	26.88	33.6	0.0	4.0	LL	26.88	27.230810506999998	0.350810506989
38.76	11.629999999999999	6.63	21.32	24.52	0.0	4.0	SS	21.32	19.872008143800002	1.4479918562099998
59.41	15.82	10.82	9.32	11.65	4.0	6.0	SS	7.5533081525300005	8.62423372046	1.07092556793
84.26	9.24	4.24	17.08	17.59	2.0	6.0	SS	15.2916668242	13.021482501500001	2.27018432265
102.53	9.41	4.41	12.35	12.47	2.0	6.0	SS	11.056913658	9.23126132997	1.82565232804
120.96	10.89	5.89	28.01	28.85	2.0	4.0	SS	25.0772592357	23.3812167597	1.69604247598
140.87	14.48	9.48	30.56	41.26	0.0	2.0	LL	30.56	36.9399398809	6.379939880939999
164.37	8.64	3.64	20.77	20.98	2.0	4.0	SS	18.595311471800002	17.0030477511	1.5922637207199999
182.04	20.16	15.16	23.25	31.39	0.0	4.0	LL	23.25	25.4397363635	2.18973636352
211.22	11.18	6.18	21.03	23.13	4.0	6.0	SS	17.0435697905	17.122620253599997	0.0790504630561
231.42	11.75	6.75	12.95	14.24	0.0	2.0	SS	12.95	12.7490243312	0.200975668819
252.2	27.8	22.8	14.89	17.12	0.0	2.0	SS	14.89	15.3274786903	0.437478690296
289.01	12.379999999999999	7.38	14.67	15.11	0.0	2.0	SS	14.67	13.5279324188	1.14206758117
310.41	8.06	3.06	17.2	18.06	0.0	2.0	SS	17.2	16.169057543599997	1.03094245638
327.49	15.69	10.69	33.08	34.73	2.0	4.0	SS	29.6164132637	28.1466085984	1.4698046652799999
352.19	16.04	11.04	28.06	42.09	2.0	6.0	LL	25.1220240683	31.1582830296	6.036258961230001
377.26	24.93	19.93	37.68	41.45	2.0	6.0	SS	33.7347778651	30.6845053831	3.05027248198
411.2	35.7	30.7	34.18	39.31	2.0	6.0	LL	30.601239581399998	29.1003113778	1.50092820364
