onset	duration	response_time	amountSS	amountLL	delaySS	delayLL	choice	SV_SS	SV_LL	SV_diff
8.0	11.8	6.8	3624.7	3628.3	0.0	2.0	SS	3624.7	3611.4861231	13.213876898399999
28.8	18.4	13.4	3110.4	3119.7	0.0	2.0	SS	3110.4	3105.24302242	5.1569775817400005
56.2	28.0	23.0	4256.2	4320.0	4.0	6.0	LL	4216.93471213	4260.49368004	43.558967909799996
93.2	18.3	13.3	5536.1	5674.5	4.0	6.0	LL	5485.02708045	5596.3359693	111.30888885
120.5	11.1	6.1	5052.7	5057.7	2.0	4.0	SS	5029.28532211	5011.04052759	18.2447945176
140.6	17.1	12.1	4381.9	4395.0	4.0	6.0	SS	4341.4750752	4334.4605842	7.014490996569999
166.7	14.0	9.0	3585.2	3674.8	0.0	2.0	LL	3585.2	3657.77063781	72.5706378122
189.7	10.5	5.5	3524.1	3527.7	0.0	4.0	SS	3524.1	3495.15544006	28.9445599438
209.2	24.4	19.4	5366.5	5420.2	4.0	6.0	SS	5316.99171388	5345.5388529	28.547139018600003
